"Timestamp","TZ","WD_AV (deg)","WS_AV (m/s)","WS_MX (m/s)","WS_IMX_WD (deg)","Bar_AV (hpa)","Bar_MX (hpa)","Bar_MN (hpa)","Hum_AV (%)","Hum_MX (%)","Hum_MN (%)","Temp_AV (degC)","Temp_MX (degC)","Temp_MN (degC)","Status","VEXT (V)"
2025/08/01 00:10:00.427,n,317.79318,3.128534,4.31,304,990.84208,990.9,990.8,75.295936,77,73.8,28.938858,29,28.9,0,11.486222
2025/08/01 00:20:00.424,n,310.37946,2.590018,3.74,322,990.77752,990.8,990.7,75.034784,77.1,72,28.901794,29,28.8,0,11.486222
2025/08/01 00:30:00.431,n,276.29874,1.894883,2.92,266,990.76576,990.8,990.7,78.249848,79.7,75.9,28.648746,28.9,28.5,0,11.486222
2025/08/01 00:40:00.432,n,229.26818,2.130018,3.29,206,990.7944,990.9,990.7,81.997968,83.3,78.8,28.148346,28.5,27.9,0,11.486222
2025/08/01 00:50:00.428,n,232.80662,2.346134,3.86,228,990.78904,990.8,990.7,80.865328,82.5,80,27.994342,28,27.9,0,11.486222
2025/08/01 01:00:00.425,n,239.27308,2.629783,3.43,228,990.73704,990.8,990.7,80.45692,81.3,79.5,28.032076,28.1,28,0,11.486222
2025/08/01 01:10:00.425,n,232.94154,2.929366,3.58,236,990.6436,990.7,990.6,82.203976,83.2,80.8,27.821944,28,27.6,0,11.486222
2025/08/01 01:20:00.430,n,223.4707,2.936151,4.03,224,990.6024,990.7,990.6,82.374616,83.4,81.1,27.754388,27.9,27.6,0,11.338964
2025/08/01 01:30:00.437,n,236.68438,2.087933,3.59,225,990.61072,990.7,990.6,80.926,81.7,79.3,27.989828,28.1,27.9,0,11.191704
2025/08/01 01:40:00.427,n,241.21296,2.271783,3.38,239,990.61144,990.7,990.6,78.187968,80.3,76.2,28.27634,28.5,28,0,11.338964
2025/08/01 01:50:00.426,n,243.92584,2.467917,3.99,253,990.61176,990.7,990.6,74.525112,77.1,72.9,28.499278,28.6,28.4,0,11.486222
2025/08/01 02:00:00.427,n,239.55464,2.712483,3.65,220,990.50936,990.6,990.4,72.80512,73.8,71.7,28.589826,28.6,28.5,0,11.486222
2025/08/01 02:10:00.432,n,219.94434,2.837433,3.83,218,990.39152,990.4,990.3,73.265792,74.3,72.3,28.558646,28.6,28.5,0,11.338964
2025/08/01 02:20:00.436,n,224.82022,2.328583,3.3,224,990.32632,990.4,990.3,74.047712,75.1,72.7,28.491322,28.6,28.4,0,11.486222
2025/08/01 02:30:00.424,n,205.5671,0.91565,1.8,164,990.37504,990.4,990.3,75.193896,76.6,73.5,28.21922,28.5,28.1,0,11.486222
2025/08/01 02:40:00.425,n,189.1618,1.039483,1.54,185,990.29936,990.4,990.2,74.925512,76,73.9,28.225534,28.3,28.1,0,11.338964
2025/08/01 02:50:00.427,n,176.99982,1.5411,2.27,172,990.19928,990.3,990.2,77.270392,79.5,75.4,27.902796,28.2,27.6,0,11.486222
2025/08/01 03:00:00.429,n,166.70724,1.550766,2.34,171,990.20384,990.3,990.2,79.095312,80.2,78.2,27.477834,27.6,27.4,0,11.486222
2025/08/01 03:10:00.424,n,167.96302,2.035334,3.09,172,990.15976,990.2,990,78.79504,79.8,78.1,27.41678,27.5,27.3,0,11.486222
2025/08/01 03:20:00.426,n,178.20768,2.153784,3.04,187,989.9924,990.1,989.9,78.14028,79.9,77.2,27.43902,27.6,27.4,0,11.338964
2025/08/01 03:30:00.427,n,172.98118,1.506316,2.19,188,989.92896,990,989.9,78.463336,80.6,77,27.478092,27.6,27.3,0,11.338964
2025/08/01 03:40:00.426,n,162.8786,1.788984,2.56,174,989.91304,990,989.8,79.54044,81.2,77.8,27.3977,27.6,27.2,0,11.486222
2025/08/01 03:50:00.429,n,165.86656,1.796418,2.77,169,989.83168,989.9,989.8,79.87736,81.2,78.5,27.30928,27.4,27.2,0,11.191704
2025/08/01 04:00:00.433,n,118.82272,0.346983,0.96,173,989.85568,989.9,989.8,80.95272,81.3,79.9,27.203134,27.3,27.2,0,11.486222
2025/08/01 04:10:00.425,n,180.21426,0.776017,1.5,171,989.84272,989.9,989.8,79.958872,80.5,79.3,27.345088,27.5,27.2,0,11.486222
2025/08/01 04:20:00.425,n,181.65516,0.8293,1.67,175,989.90136,990,989.9,79.953616,80.9,79.1,27.456846,27.5,27.4,0,11.486222
2025/08/01 04:30:00.427,n,177.63334,1.636383,2.36,173,989.90696,990,989.9,79.218768,80,78.6,27.489818,27.6,27.4,0,11.486222
2025/08/01 04:40:00.425,n,164.72876,1.5815,2.08,162,989.91072,990,989.9,79.550488,80.3,79,27.452628,27.5,27.4,0,11.486222
2025/08/01 04:50:00.428,n,153.29044,1.189284,1.81,164,989.902,990,989.9,80.559544,81,79.9,27.30421,27.4,27.2,0,11.486222
2025/08/01 05:00:00.424,n,164.07296,1.685567,2.65,176,989.96536,990,989.9,80.811384,82.3,80.1,27.254942,27.4,27.1,0,11.191704
2025/08/01 05:10:00.424,n,174.56542,2.220235,3.4,173,989.9776,990,989.9,81.230904,82.6,80.4,27.14792,27.3,27,0,11.486222
2025/08/01 05:20:00.428,n,173.5194,2.353651,3.1,177,990.00016,990.1,990,80.308608,81.9,79.3,27.030924,27.1,26.9,0,11.486222
2025/08/01 05:30:00.431,n,171.76754,1.2762,2.46,172,989.9844,990.1,989.9,81.596136,82.4,80.5,26.803446,26.9,26.7,0,11.486222
2025/08/01 05:40:00.436,n,164.68228,1.296583,1.9,177,990.00632,990.1,989.9,82.111904,83,80.8,26.626678,26.7,26.6,0,11.486222
2025/08/01 05:50:00.438,n,165.94456,1.123617,1.87,168,990.05032,990.1,990,81.420128,82.2,80.3,26.601854,26.7,26.6,0,11.486222
2025/08/01 06:00:00.441,n,142.92166,1.021583,1.67,174,990.08448,990.1,990,80.858496,81.9,80.2,26.607862,26.7,26.6,0,11.486222
2025/08/01 06:10:00.424,n,174.90664,1.451817,1.97,179,990.10136,990.2,990,79.897272,80.9,78.8,26.674472,26.8,26.6,0,11.486222
2025/08/01 06:20:00.427,n,171.07086,0.847866,1.81,188,990.18576,990.3,990.1,78.829088,80,77.2,26.915454,27.1,26.7,0,11.486222
2025/08/01 06:30:00.427,n,179.71724,0.951834,1.87,175,990.30448,990.3,990.2,77.992728,78.9,76.9,27.054982,27.1,27,0,11.338964
2025/08/01 06:40:00.428,n,179.02836,0.904367,1.58,171,990.31232,990.4,990.3,77.54364,79.1,76.5,27.158634,27.3,27.1,0,11.338964
2025/08/01 06:50:00.426,n,181.53884,1.842367,2.95,188,990.34976,990.4,990.3,78.42956,79.8,77.3,27.18421,27.3,27.1,0,11.633482
2025/08/01 07:00:00.431,n,177.60808,1.573316,2.88,187,990.36936,990.4,990.3,77.538352,79,75.8,27.42414,27.8,27.2,0,11.633482
2025/08/01 07:10:00.436,n,169.03612,1.676683,2.83,158,990.33064,990.4,990.3,77.239184,78.1,76.5,27.574616,27.7,27.5,0,11.928
2025/08/01 07:20:00.440,n,171.15172,1.74725,2.89,178,990.40064,990.4,990.3,77.490296,78.3,76.1,27.79566,28,27.6,0,11.928
2025/08/01 07:30:00.429,n,173.31556,1.466433,2.74,180,990.42024,990.5,990.4,77.927896,78.8,76.9,27.936796,28.2,27.7,0,11.633482
2025/08/01 07:40:00.427,n,156.00166,0.8638,2.15,113,990.42752,990.5,990.4,76.030888,77.3,74.4,28.53347,29,28.2,0,11.928
2025/08/01 07:50:00.425,n,9.932636,0.64655,1.72,90,990.48008,990.6,990.4,73.284336,74.8,72.3,29.342856,29.5,29,0,11.633482
2025/08/01 08:00:00.424,n,14.389322,1.078,2.83,334,990.4996,990.5,990.4,73.573488,76.7,72,29.409576,29.7,28.8,0,11.633482
2025/08/01 08:10:00.422,n,4.486399,0.870383,2.36,1,990.45432,990.5,990.4,76.708424,77.6,75.4,28.864746,29.2,28.7,0,11.633482
2025/08/01 08:20:00.425,n,2.273558,0.704616,2.21,121,990.41904,990.5,990.4,73.711232,76.2,72.8,29.598946,29.8,29,0,12.07526
2025/08/01 08:30:00.429,n,358.91252,1.039,2.48,355,990.36528,990.5,990.3,74.897296,76.4,73.1,29.123038,29.8,28.7,0,12.07526
2025/08/01 08:40:00.428,n,14.50994,0.7832,2,343,990.3376,990.4,990.3,72.136136,73.9,70.2,29.713596,30.1,29.3,0,12.07526
2025/08/01 08:50:00.448,n,349.11292,1.047433,2.26,342,990.25016,990.3,990.2,70.944152,74,69.5,29.675376,29.9,29.1,0,12.07526
2025/08/01 09:00:00.439,n,336.25948,1.230216,2.65,309,990.2096,990.3,990.2,73.27216,75,72.4,29.226566,29.4,29.1,0,12.07526
2025/08/01 09:10:00.426,n,345.78636,1.25025,2.27,348,990.16168,990.2,990.1,72.827216,74.3,71,29.404264,29.7,29.3,0,12.36978
2025/08/01 09:20:00.429,n,358.21976,1.183768,2.24,352,990.15744,990.2,990.1,73.656328,74.7,72.7,29.194926,29.3,29.1,0,12.36978
2025/08/01 09:30:00.425,n,17.785874,0.8865,1.97,13,990.10424,990.2,990.1,72.11908,73.5,70.8,29.589986,29.8,29.2,0,11.633482
2025/08/01 09:40:00.426,n,9.629756,0.94845,1.77,22,990.06912,990.1,990,70.250872,72.2,66.699996,29.818354,29.9,29.7,0,12.664298
2025/08/01 09:50:00.424,n,35.967856,1.342382,2.44,55,990.02656,990.1,989.9,69.724816,71.7,66.6,29.975026,30.3,29.8,0,12.664298
2025/08/01 10:00:00.423,n,31.224834,1.270734,2.25,50,989.888,990,989.8,68.76868,70.7,66.4,30.14331,30.5,29.9,0,12.07526
2025/08/01 10:10:00.424,n,29.294796,1.643217,2.91,29,989.77888,989.8,989.7,70.056224,71.8,68,29.810076,30.2,29.6,0,12.22252
2025/08/01 10:20:00.426,n,20.73955,1.306566,2.1,31,989.68056,989.7,989.6,70.336536,71.9,68.6,29.807332,30,29.7,0,12.22252
2025/08/01 10:30:00.430,n,17.42212,1.2429,2.22,36,989.56504,989.7,989.5,70.85608,72.3,69.6,29.887194,30,29.8,0,12.811556
2025/08/01 10:40:00.426,n,355.29672,1.106849,1.99,340,989.44896,989.5,989.4,70.566336,71.6,69.5,30.054062,30.3,29.9,0,12.811556
2025/08/01 10:50:00.427,n,342.92028,1.003467,2.08,320,989.34464,989.4,989.3,69.397424,70.7,68.4,30.392402,30.6,30.2,0,12.07526
2025/08/01 11:00:00.427,n,330.13224,1.114317,2.67,327,989.29304,989.4,989.2,68.154504,69.5,67,30.773898,31,30.5,0,12.664298
2025/08/01 11:10:00.428,n,337.40828,1.03505,2.12,335,989.25104,989.3,989.2,68.414968,69.9,66.800004,30.652984,31,30.4,0,12.664298
2025/08/01 11:20:00.433,n,320.28422,1.4034,2.61,307,989.1568,989.2,989.1,67.262312,70.8,65.699996,31.0365,31.4,30.6,0,12.36978
2025/08/01 11:30:00.436,n,325.51706,1.599,2.73,330,989.03312,989.1,988.9,68.84448,70.8,65.800004,30.69681,31.4,30.4,0,12.07526
2025/08/01 11:40:00.424,n,328.22274,1.7276,2.86,332,988.8732,989,988.7,70.038088,71.9,68.1,30.37805,30.9,30.1,0,12.36978
2025/08/01 11:50:00.424,n,328.28622,2.041317,3.59,328,988.70664,988.9,988.7,69.91076,71.7,67.3,30.35847,30.5,30.2,0,12.36978
2025/08/01 12:00:00.429,n,320.5401,2.36465,3.95,320,988.69856,988.8,988.6,68.656824,70.4,66.9,30.520582,30.7,30.4,0,11.928
2025/08/01 12:10:00.427,n,322.31428,2.400916,3.48,334,988.57,988.7,988.5,68.354656,70.4,66.199996,30.730372,31,30.5,0,11.928
2025/08/01 12:20:00.427,n,323.64038,2.289217,3.21,325,988.43264,988.5,988.4,68.024232,69.8,66.300004,30.846888,31.1,30.7,0,12.07526
2025/08/01 12:30:00.424,n,325.97068,2.261933,3.18,328,988.37768,988.4,988.3,66.647712,68.2,64.800004,31.039216,31.3,30.9,0,11.928
2025/08/01 12:40:00.424,n,326.6594,2.203133,2.99,322,988.30344,988.4,988.2,65.44934,67.8,63.9,31.380952,31.7,31.1,0,11.928
2025/08/01 12:50:00.430,n,340.57396,2.23065,2.93,331,988.2604,988.3,988.2,65.584784,67.5,64,31.195972,31.3,31.1,0,11.928
2025/08/01 13:00:00.431,n,355.27928,2.374067,3.44,350,988.14896,988.2,988,65.655832,67.8,63.9,31.310086,31.4,31.2,0,12.07526
2025/08/01 13:10:00.436,n,346.91176,2.509933,3.88,353,988.01312,988.1,987.9,64.72484,68.6,61.8,31.451536,31.6,31.3,0,11.633482
2025/08/01 13:20:00.437,n,0.475479,3.228144,4.84,345,987.90392,988,987.8,63.088552,66.300004,60.5,31.615106,31.8,31.5,0,11.633482
2025/08/01 13:30:00.427,n,343.19768,5.136482,7.71,335,987.84656,987.9,987.7,62.721328,66.6,59.1,31.831908,32,31.7,0,11.928
2025/08/01 13:40:00.425,n,333.46894,8.220169,9.65,332,987.59768,987.8,987.5,62.147352,65.5,59,31.811962,31.9,31.7,0,11.928
2025/08/01 13:50:00.423,n,333.92872,9.011832,10.57,331,987.48648,987.6,987.4,64.391328,67.4,61.1,31.595366,31.8,31.5,0,12.517038
2025/08/01 14:00:00.425,n,335.44656,9.131366,10.55,335,987.43456,987.6,987.3,65.0775,69.1,61.3,31.476276,31.6,31.3,0,12.36978
2025/08/01 14:10:00.424,n,334.27648,10.494318,12.45,330,987.29744,987.5,987.1,66.129348,70,63.1,31.276044,31.4,31.2,0,11.928
2025/08/01 14:20:00.425,n,332.64924,10.803034,13.35,339,987.17848,987.4,987,64.058304,69.1,60.4,31.13998,31.2,31,0,11.633482
2025/08/01 14:30:00.426,n,332.00654,10.373424,12.04,333,987.23248,987.4,987,62.515324,65.9,58.9,31.170346,31.2,31.1,0,12.07526
2025/08/01 14:40:00.429,n,328.33832,11.332662,13.81,329,987.15432,987.4,987,60.854992,66.1,57.9,31.138778,31.2,31,0,11.928
2025/08/01 14:50:00.432,n,330.67826,10.752922,12.87,326,987.07896,987.3,987,61.926668,66.699996,58.1,31.115484,31.2,31,0,11.633482
2025/08/01 15:00:00.437,n,332.01624,10.162964,12.07,332,987.12376,987.3,987,62.704792,66.699996,59,31.103818,31.2,31,0,12.36978
2025/08/01 15:10:00.424,n,333.7677,10.388966,12.6,340,987.07576,987.3,986.8,64.546136,67.6,60.4,30.998408,31.1,30.9,0,12.07526
2025/08/01 15:20:00.426,n,331.6092,10.718138,12.99,338,987.04408,987.3,986.8,65.12934,69.8,61,30.81637,30.9,30.8,0,11.633482
2025/08/01 15:30:00.428,n,328.68234,11.337746,14.14,329,987.1184,987.3,986.9,63.696992,66.4,60.5,30.779434,30.9,30.7,0,11.928
2025/08/01 15:40:00.430,n,330.58422,11.53143,14.93,324,987.15392,987.4,986.9,64.663824,69.7,60.9,30.6342,30.7,30.5,0,11.633482
2025/08/01 15:50:00.432,n,334.0949,12.672486,15.18,335,987.0808,987.3,986.9,63.242,66.4,58.9,30.585864,30.7,30.5,0,11.633482
2025/08/01 16:00:00.434,n,332.2799,12.608628,14.72,328,987.0884,987.4,986.9,62.886992,68,59.2,30.460992,30.6,30.4,0,11.928
2025/08/01 16:10:00.439,n,333.55792,12.585136,15.37,339,987.1372,987.4,986.9,61.619324,65,58.1,30.399024,30.5,30.3,0,11.633482
2025/08/01 16:20:00.425,n,335.34344,13.216716,15.82,340,987.00016,987.2,986.7,61.487848,65,58.5,30.301546,30.4,30.2,0,12.07526
2025/08/01 16:30:00.427,n,334.81326,13.44127,16.35,326,986.93112,987.3,986.6,61.590612,65.5,57.6,30.175782,30.3,30.1,0,11.928
2025/08/01 16:40:00.425,n,334.38,12.943946,16.78,333,986.95792,987.2,986.6,64.466964,68.9,61,30.07093,30.1,30,0,11.633482
2025/08/01 16:50:00.426,n,332.44678,13.279932,16.120002,332,986.94208,987.3,986.6,65.487656,70.5,62.2,29.89851,30,29.8,0,11.928
2025/08/01 17:00:00.425,n,334.42816,13.83593,17.07,330,986.84464,987.2,986.6,65.580208,69.4,62.4,29.80611,29.9,29.7,0,11.633482
2025/08/01 17:10:00.425,n,332.9064,12.83745,15.36,325,986.87488,987.1,986.7,66.745508,70.8,63.3,29.691148,29.8,29.6,0,11.633482
2025/08/01 17:20:00.425,n,332.82926,12.052686,14.11,334,986.9692,987.2,986.8,66.554704,70.2,62.8,29.67878,29.8,29.6,0,11.633482
2025/08/01 17:30:00.429,n,331.1691,12.70123,15.09,328,986.80912,987.2,986.5,66.532152,71.5,62.4,29.6453,29.7,29.6,0,11.633482
2025/08/01 17:40:00.434,n,332.50474,12.883082,16.34,330,986.8364,987.1,986.5,67.0073,71.8,62.3,29.558562,29.6,29.5,0,11.633482
2025/08/01 17:50:00.436,n,335.7258,13.504406,15.97,336,986.75336,987,986.5,67.752,71.9,64.6,29.480062,29.6,29.4,0,11.486222
2025/08/01 18:00:00.437,n,339.6974,12.553414,15.68,333,986.86304,987.2,986.6,69.426976,73.1,66.4,29.35887,29.5,29.2,0,11.633482
2025/08/01 18:10:00.425,n,339.07052,12.259766,14.87,335,986.99856,987.2,986.7,70.272984,73.5,67.9,29.211122,29.3,29.1,0,11.633482
2025/08/01 18:20:00.432,n,336.53648,12.281412,14.8,336,987.17552,987.4,986.9,71.300168,74.8,68.9,29.057644,29.2,28.9,0,11.633482
2025/08/01 18:30:00.425,n,339.6028,12.00368,14.84,340,987.35568,987.6,987.1,72.450352,76.5,69.9,28.92884,29,28.9,0,11.633482
2025/08/01 18:40:00.427,n,340.64712,11.414866,15.74,346,987.47248,987.7,987.2,73.946032,78,71.3,28.838614,28.9,28.7,0,11.486222
2025/08/01 18:50:00.425,n,342.07928,11.098564,14.79,344,987.59216,987.9,987.4,74.716328,79,72.1,28.713066,28.8,28.6,0,11.486222
2025/08/01 19:00:00.424,n,343.12684,10.886264,13.57,351,987.69896,987.9,987.4,76.053216,80.4,73.4,28.617326,28.7,28.5,0,11.486222
2025/08/01 19:10:00.427,n,342.57368,10.162828,13.59,348,987.7096,987.9,987.4,76.869672,80.6,74.1,28.485726,28.6,28.4,0,11.633482
2025/08/01 19:20:00.428,n,340.63812,10.359606,13.41,344,987.69048,987.9,987.4,76.606808,79.9,73.6,28.398326,28.5,28.3,0,11.486222
2025/08/01 19:30:00.433,n,338.04588,10.119186,12.66,335,987.72536,988,987.5,76.629104,81.2,73.9,28.35775,28.4,28.3,0,11.633482
2025/08/01 19:40:00.425,n,336.2248,9.872184,12.25,339,987.74112,988,987.5,76.051744,80.2,73.7,28.310566,28.4,28.2,0,11.338964
2025/08/01 19:50:00.424,n,338.63372,9.678038,13.02,343,987.79416,988,987.5,76.666344,80.6,73.6,28.32773,28.4,28.2,0,11.486222
2025/08/01 20:00:00.426,n,338.88536,9.774922,12.17,329,987.91752,988.2,987.7,76.268544,79.9,72.8,28.375056,28.4,28.3,0,11.486222
2025/08/01 20:10:00.428,n,337.09192,9.490252,12.84,335,988.01376,988.2,987.7,76.118992,81,73.5,28.322294,28.4,28.2,0,11.633482
2025/08/01 20:20:00.429,n,340.44224,8.496146,10.75,341,988.21768,988.5,988,77.424864,81.2,74.7,28.301446,28.4,28.2,0,11.338964
2025/08/01 20:30:00.434,n,342.2054,8.03704,10.27,341,988.38072,988.5,988.2,77.620632,80,75.4,28.2061,28.3,28.1,0,11.633482
2025/08/01 20:40:00.436,n,339.44368,7.924328,11.13,332,988.3088,988.5,988,78.367992,80.3,76,28.202096,28.3,28.1,0,11.486222
2025/08/01 20:50:00.424,n,338.81496,8.236719,10.22,331,988.32712,988.5,988.2,77.83236,80.5,76.2,28.191592,28.3,28.1,0,11.486222
2025/08/01 21:00:00.426,n,338.63772,7.645289,10.64,339,988.47072,988.6,988.3,78.838272,81.5,76,28.233896,28.3,28.1,0,11.633482
2025/08/01 21:10:00.424,n,341.25424,8.257962,10.82,337,988.39408,988.5,988.2,78.969848,82,76.8,28.213406,28.3,28.2,0,11.486222
2025/08/01 21:20:00.427,n,343.16836,8.168298,11.31,347,988.39712,988.5,988.2,79.504312,83,77.3,28.175072,28.3,28.1,0,11.633482
2025/08/01 21:30:00.424,n,339.5552,8.235636,10.81,333,988.39384,988.5,988.2,79.418352,82.1,77.5,28.162068,28.2,28.1,0,11.486222
2025/08/01 21:40:00.426,n,336.94828,8.435128,11.19,326,988.44816,988.6,988.2,80.470184,83.3,78.8,28.14519,28.2,28.1,0,11.486222
2025/08/01 21:50:00.425,n,332.19458,8.028764,11.51,325,988.52816,988.6,988.4,80.927504,83.9,77.9,28.193936,28.3,28.1,0,11.633482
2025/08/01 22:00:00.426,n,327.07968,8.940418,11.23,324,988.472,988.6,988.2,80.630632,83.5,78.4,28.2541,28.4,28.2,0,11.338964
2025/08/01 22:10:00.430,n,324.1929,8.669774,10.78,322,988.3828,988.5,988.3,79.920304,83,77.3,28.245034,28.4,28.2,0,11.633482
2025/08/01 22:20:00.433,n,324.60986,8.455064,10.8,328,988.4256,988.6,988.2,79.682504,82.5,77.5,28.278594,28.4,28.2,0,11.633482
2025/08/01 22:30:00.436,n,325.02664,7.599203,9.66,326,988.49064,988.6,988.4,79.69884,81.9,77.5,28.31531,28.4,28.2,0,11.338964
2025/08/01 22:40:00.425,n,319.57056,7.594198,10.05,326,988.53872,988.7,988.3,78.358504,82.3,76.2,28.359504,28.4,28.3,0,11.633482
2025/08/01 22:50:00.426,n,316.98764,7.133519,9.31,318,988.62296,988.8,988.5,78.93236,81.3,76.3,28.433388,28.5,28.3,0,11.486222
2025/08/01 23:00:00.428,n,317.92672,6.817665,9.04,322,988.73352,988.9,988.6,77.559824,79.6,75.7,28.420618,28.5,28.4,0,11.633482
2025/08/01 23:10:00.425,n,321.12548,6.071968,7.67,334,988.708,988.8,988.6,77.964504,80.4,76.4,28.431582,28.5,28.4,0,11.633482
2025/08/01 23:20:00.425,n,324.68534,7.081013,8.69,319,988.58008,988.7,988.4,76.85948,79,75.1,28.501948,28.6,28.4,0,11.633482
2025/08/01 23:30:00.425,n,321.8223,7.283002,9.43,323,988.42008,988.5,988.3,76.767824,79.6,74.8,28.518998,28.6,28.5,0,11.338964
2025/08/01 23:40:00.425,n,323.08658,7.423401,9.91,324,988.37376,988.5,988.3,77.506816,80.2,76,28.469856,28.5,28.4,0,11.633482
2025/08/01 23:50:00.428,n,321.70032,6.614584,8.83,332,988.29232,988.4,988.1,77.006016,79.6,74.6,28.5,28.6,28.4,0,11.633482
2025/08/02 00:00:00.435,n,321.15906,6.165735,8.060001,322,988.26328,988.3,988.2,77.692208,81.9,75,28.60721,28.7,28.5,0,11.486222
2025/08/02 00:10:00.424,n,317.8233,5.941033,8.79,314,988.27384,988.4,988.1,75.648808,79.2,73.2,28.688422,28.8,28.6,0,11.338964
2025/08/02 00:20:00.425,n,319.2113,5.862997,7.69,321,988.18936,988.3,988.1,75.230016,79.8,72.9,28.694212,28.8,28.6,0,11.486222
2025/08/02 00:30:00.423,n,322.80088,6.333134,9.18,334,988.19264,988.3,988,73.73268,77.2,71.4,28.729284,28.8,28.6,0,11.633482
2025/08/02 00:40:00.428,n,324.47876,6.366135,8.28,315,988.15464,988.3,988,73.146304,76.2,70.8,28.714368,28.8,28.7,0,11.486222
2025/08/02 00:50:00.430,n,318.69696,6.438317,8.77,313,988.11352,988.2,988,72.064808,74.7,70.5,28.74561,28.8,28.7,0,11.486222
2025/08/02 01:00:00.433,n,325.46182,6.306933,7.54,324,988.11312,988.2,988,73.402,76.9,71.3,28.611702,28.7,28.5,0,11.486222
2025/08/02 01:10:00.439,n,327.14292,6.387267,8.72,321,987.99088,988.1,987.9,75.242632,78.7,72.9,28.451656,28.5,28.3,0,11.633482
2025/08/02 01:20:00.425,n,327.82684,6.349751,7.99,337,987.892,988,987.8,76.008696,78.7,73,28.307734,28.4,28.2,0,11.486222
2025/08/02 01:30:00.427,n,327.56878,6.910117,8.81,323,987.86472,988,987.7,76.569608,79.5,74.3,28.220384,28.3,28.1,0,11.338964
2025/08/02 01:40:00.424,n,325.20538,7.426616,8.67,329,987.84096,987.9,987.7,75.432664,79.4,73.2,28.216872,28.3,28.1,0,11.486222
2025/08/02 01:50:00.424,n,325.23484,8.327265,10.27,333,987.82016,988,987.6,74.734504,78.6,72.7,28.187744,28.3,28.1,0,11.191704
2025/08/02 02:00:00.425,n,322.37684,7.387268,9.61,324,987.8996,988,987.8,74.918288,78.4,72,28.178936,28.2,28.1,0,11.486222
2025/08/02 02:10:00.427,n,321.74026,8.118952,11.7,329,987.89624,988.1,987.7,74.948712,76.8,72.8,28.123848,28.2,28.1,0,11.486222
2025/08/02 02:20:00.426,n,324.176,9.450218,11.83,326,987.90136,988.1,987.7,74.117344,79.1,70.3,28.118432,28.2,28,0,11.486222
2025/08/02 02:30:00.429,n,331.30892,7.809869,9.7,331,988.01632,988.2,987.9,73.515936,78.5,71.6,28.108352,28.2,28,0,11.486222
2025/08/02 02:40:00.433,n,326.22522,7.7065,9.45,323,987.98832,988.1,987.9,73.07948,75.5,71.4,28.070668,28.1,28,0,11.486222
2025/08/02 02:50:00.436,n,326.48098,8.655106,10.79,331,987.90824,988,987.7,74.023016,77.2,71.6,28.024652,28.1,27.9,0,11.486222
2025/08/02 03:00:00.439,n,326.99198,7.79643,9.58,320,987.94248,988.1,987.8,74.93716,77.3,72.5,27.943346,28,27.8,0,11.486222
2025/08/02 03:10:00.427,n,329.10862,8.947418,11.65,326,987.84384,988,987.7,76.457072,78.8,74.3,27.90515,28,27.9,0,11.486222
2025/08/02 03:20:00.429,n,329.5259,9.0144,11.4,327,987.82064,988,987.6,76.891184,80.3,74.3,27.872122,28,27.7,0,11.486222
2025/08/02 03:30:00.425,n,331.15728,9.675634,12.65,332,987.77536,988,987.5,78.390688,80,75.8,27.899142,28,27.8,0,11.191704
2025/08/02 03:40:00.425,n,333.11344,9.793854,11.8,332,987.78184,988,987.6,78.506992,81.5,76.4,27.921792,28,27.9,0,11.486222
2025/08/02 03:50:00.425,n,333.44568,9.256698,11.56,333,987.8544,988.1,987.6,78.135808,82.2,74.8,27.91581,28,27.8,0,11.486222
2025/08/02 04:00:00.426,n,333.88302,9.513384,11.85,330,987.88424,988,987.7,77.700312,81.5,74.5,27.882292,28,27.7,0,11.486222
2025/08/02 04:10:00.430,n,336.38536,9.937346,12.36,332,987.97064,988.1,987.8,77.297304,79.7,74.4,27.877454,28,27.8,0,11.486222
2025/08/02 04:20:00.431,n,334.84098,10.204498,12.35,330,988.03616,988.2,987.9,78.163456,80.5,76.1,27.815758,27.9,27.8,0,11.486222
2025/08/02 04:30:00.435,n,329.38922,10.433372,12.66,328,988.13864,988.4,988,78.164144,81,76,27.74808,27.9,27.7,0,11.486222
2025/08/02 04:40:00.425,n,324.84336,10.60868,12.66,330,988.2376,988.5,988,76.816048,79.4,74.6,27.702374,27.8,27.6,0,11.486222
2025/08/02 04:50:00.426,n,326.10708,10.815262,12.69,323,988.22568,988.4,988.1,77.206152,80.2,75,27.62465,27.8,27.5,0,11.486222
2025/08/02 05:00:00.427,n,323.02176,10.08207,12.54,321,988.34232,988.5,988.1,76.435848,79.4,73.8,27.644784,27.8,27.6,0,11.486222
2025/08/02 05:10:00.430,n,323.77234,10.347734,13.09,322,988.32032,988.5,988.1,75.598696,78.4,72.5,27.677398,27.8,27.6,0,11.191704
2025/08/02 05:20:00.434,n,327.14716,9.523754,12.04,320,988.39064,988.5,988.2,76.199888,79.2,73.3,27.611904,27.7,27.5,0,11.191704
2025/08/02 05:30:00.424,n,327.02554,8.58175,10.54,323,988.47816,988.6,988.3,76.587832,79.9,74.6,27.506328,27.6,27.5,0,11.486222
2025/08/02 05:40:00.427,n,332.8996,8.084365,10.12,335,988.5156,988.6,988.4,77.117712,79.8,75,27.544404,27.6,27.5,0,11.191704
